Record_ID,Species,New_CODE,Field_Code,Type_of_Record,Site,Date,Boat_name,Fishermen,Fisherman_cooperative,Catch_date,LaNAing_site,Sale_price_pkg,Location,Fish_Market_name,Address,Phone_number,Catch_site,Lat,Long,Fisherman,Pesca_Objetivo,Captura_total_Mero_(kg),Weight,Weight_notes,Total_Length,StaNAard_Length,Head_Length,Head_width,Otoliths,Tissue,Gonads,Stomach,Sex,Scales,Pictures,Whole_Fish,Species_identification?,Collector,Analyzed?,Comments
GSB-039,Giant Sea Bass,SG-EN-170610-06,EN-27,Fish Market,Ensenada,10/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,5.8,NA,70,NA,16,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-040,Giant Sea Bass,SG-TJ-170610-01,TJ-09,Fish Market,Tijuana,10/06/2017,NA,NA,NA,NA,NA,NA,Tijuana,Pescadería Los Delfines,NA,NA,Laguna San Ignacio,NA,NA,NA,NA,NA,2,NA,51,NA,14,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-041,Giant Sea Bass,SG-TJ-170610-02,TJ-10,Fish Market,Tijuana,10/06/2017,NA,NA,NA,NA,NA,NA,Tijuana,Pescadería Los Delfines,NA,NA,Laguna San Ignacio,NA,NA,NA,NA,NA,9.8,NA,86,NA,22,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-042,Giant Sea Bass,SG-TJ-170610-03,TJ-11,Fish Market,Tijuana,10/06/2017,NA,NA,NA,NA,NA,NA,Tijuana,Pescadería Los Delfines,NA,NA,Laguna San Ignacio,NA,NA,NA,NA,NA,5,NA,72,NA,19,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-043,Giant Sea Bass,SG-TJ-170610-04,TJ-12,Fish Market,Tijuana,10/06/2017,NA,NA,NA,NA,NA,NA,Tijuana,Pescadería Los Delfines,NA,NA,Laguna San Ignacio,NA,NA,NA,NA,NA,1,NA,30,NA,10,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-044,Giant Sea Bass,SG-TJ-170610-05,TJ-13,Fish Market,Tijuana,10/06/2017,NA,NA,NA,NA,NA,NA,Tijuana,Pescadería Los Delfines,NA,NA,Laguna San Ignacio,NA,NA,NA,NA,NA,12,NA,90,NA,25,NA,YES,YES,NO,NA,NA,NA,YES,YES,Arturo,Arturo,YES,NA
GSB-045,Giant Sea Bass,SG-EN-170622-01,EN-28,Fish Market,Ensenada,22/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,108,NA,NA,NA,NA,NA,NO,YES,NO,NA,NA,NO,NO,NO,Paula Sgarlatta/Isabel HernáNAez,Paula Sgarlatta Y Isabel HernaNAez,YES,NA
GSB-046,Giant Sea Bass,SG-EN-170623-01,EN-29,Fish Market,Ensenada,23/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,4.54,NA,70,NA,20,NA,YES,YES,YES,NA,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,ESTABA COMO EN-X1
GSB-047,Giant Sea Bass,SG-EN-170623-02,EN-30,Fish Market,Ensenada,23/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,3.4,NA,63,NA,16,NA,YES,YES,YES,NA,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,ESTABA COMO EN-X2
GSB-048,Giant Sea Bass,SG-EN-170623-03,EN-31,Fish Market,Ensenada,23/06/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,5.2,NA,72,NA,22,NA,YES,YES,YES,NA,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,ESTABA COMO EN-X3
GSB-049,Giant Sea Bass,SG-EN-170701-01,EN-32,Fish Market,Ensenada,01/07/2017,NA,NA,NA,NA,NA,120,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,6.1,NA,74,NA,19,NA,YES,YES,NO,NA,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,ESTABA COMO EN-Y1
GSB-050,Giant Sea Bass,SG-GN-170616-01,GN-01,Campo Pesquero,Guerrero Negro,16/06/2017,Alicia II,Ulises,NA,16/06/2017,Las Casitas,NA,Guerrero Negro,NA,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,5.6,NA,68,NA,19,NA,YES,YES,YES,NA,NA,YES,NO,YES,Ricardo Dominguez/Cynthia Castellanos,Ricardo Dominguez Y Cynthia Castellanos,YES,NA
GSB-051,Giant Sea Bass,SG-GN-170616-02,GN-02,Campo Pesquero,Guerrero Negro,16/06/2017,Alicia II,Ulises,NA,16/06/2017,Las Casitas,NA,Guerrero Negro,NA,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,13.6,NA,97,NA,27,NA,YES,YES,YES,NA,NA,YES,NO,YES,Ricardo Dominguez/Cynthia Castellanos,Ricardo Dominguez Y Cynthia Castellanos,YES,NA
GSB-052,Giant Sea Bass,SG-EN-170705-01,EN-33,Fish Market,Ensenada,05/07/2017,NA,NA,NA,NA,Ajusco (EreNAira),100,Ensenada,Mercado Negro,NA,NA,Ajusco (EreNAira),NA,NA,NA,NA,NA,2,NA,50,NA,13,NA,YES,YES,YES,YES,NA,YES,YES,YES,Paula Sgarlatta/Abraham Gonzalez,Paula Sgarlatta/Abraham Gonzalez,YES,NA
GSB-053,Giant Sea Bass,SG-EN-170705-02,EN-34,Fish Market,Ensenada,05/07/2017,NA,NA,NA,NA,Ajusco (EreNAira),100,Ensenada,Mercado Negro,NA,NA,Ajusco (EreNAira),NA,NA,NA,NA,NA,1.7,NA,45,NA,11,NA,YES,YES,YES,YES,NA,YES,YES,YES,Paula Sgarlatta/Abraham Gonzalez,Paula Sgarlatta/Abraham Gonzalez,YES,NA
GSB-054,Giant Sea Bass,SG-EN-170710-01,EN-35,Fish Market,Ensenada,10/07/2017,NA,NA,NA,NA,NA,120,Ensenada,Ensenada,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,168,NA,171,NA,51,NA,YES,YES,NO,NO,NA,NO,NO,YES,Arturo,Arturo,YES,NA
GSB-055,Giant Sea Bass,SG-PA-170703-01,PA-01,Campo Pesquero,Punta Abreojos,03/07/2017,PENAIENTE,PENAIENTE,Cooperativa Punta Abreojos,NA,Punta Abreojos,NA,NA,NA,NA,NA,Punta Abreojos,NA,NA,NA,NA,NA,5.05,NA,69,NA,20.5,NA,YES,YES,YES,NO,NA,NO,YES,YES,José Cota,Arturo,NA,NA
GSB-056,Giant Sea Bass,SG-EN-170713-01,EN-36,Fish Market,Ensenada,13/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,1.4,NA,52,NA,14.5,NA,YES,YES,NO,NO,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-057,Giant Sea Bass,SG-EN-170713-02,EN-37,Fish Market,Ensenada,13/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,1.42,NA,47,NA,13,NA,YES,YES,YES,YES,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-058,Giant Sea Bass,SG-EN-170713-03,EN-38,Fish Market,Ensenada,13/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,1.64,NA,51,NA,14,NA,YES,YES,YES,NO,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-059,Giant Sea Bass,SG-EN-170713-04,EN-39,Fish Market,Ensenada,13/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,1.06,NA,42,NA,11,NA,YES,YES,YES,NO,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-060,Giant Sea Bass,SG-EN-170713-05,EN-40,Fish Market,Ensenada,13/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,1.34,NA,48,NA,13,NA,YES,YES,NO,NO,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-061,Giant Sea Bass,SG-EN-170712-01,EN-41,Fish Market,Ensenada,12/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,2.34,NA,56,NA,18,NA,YES (1),YES,YES,YES,NA,NA,NO,YES,Daniel (Mercado Negro),Daniel (Mercado Negro),YES,NA
GSB-062,Giant Sea Bass,SG-EN-170713-01,EN-42,Fish Market,Ensenada,13/07/2017,NA,NA,NA,NA,Guerrero Negro,100,Ensenada,Mercado Negro,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,1.34,NA,46,NA,11.5,NA,YES,YES,YES,NO,NA,YES,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-063,Giant Sea Bass,SG-TJ-170723-01,TJ-14,Fish Market,Tijuana,23/07/2017,NA,NA,NA,NA,San Juanico (Golfo de Ulloa),100,Tijuana,Pescaderia Sinaloa,NA,NA,San Juanico (Golfo de Ulloa),NA,NA,NA,NA,NA,5.6,NA,74,NA,19,NA,YES,YES,YES,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-064,Giant Sea Bass,SG-TJ-170723-02,TJ-15,Fish Market,Tijuana,23/07/2017,NA,NA,NA,NA,San Juanico (Golfo de Ulloa),100,Tijuana,Pescaderia Sinaloa,NA,NA,San Juanico (Golfo de Ulloa),NA,NA,NA,NA,NA,4.6,NA,71,NA,18,NA,YES,YES,YES,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-065,Giant Sea Bass,SG-TJ-170723-03,TJ-16,Fish Market,Tijuana,23/07/2017,NA,NA,NA,NA,San Juanico (Golfo de Ulloa),100,Tijuana,Pescaderia Sinaloa,NA,NA,San Juanico (Golfo de Ulloa),NA,NA,NA,NA,NA,6.9,NA,76,NA,20,NA,YES,YES,YES,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-066,Giant Sea Bass,SG-SD-170803-01,SD-01,StraNAed,San Diego,03/08/2017,NA,NA,NA,02/08/2017,Carlsbad,NA,San Diego,NA,NA,NA,Carlsbad,NA,NA,NA,NA,NA,NA,NA,136,NA,35,NA,YES,YES,YES,NO,NA,YES,YES,YES,Arturo,Arturo,NA,Aleta caudal incompleta
GSB-067,Giant Sea Bass,SG-TJ-170804-01,TJ-17,Fish Market,Tijuana,04/08/2017,NA,NA,NA,NA,El Datil,100,Tijuana,Pescaderia Sinaloa,NA,NA,El Datil,NA,NA,NA,Lenguado,40,6.36,NA,75,63,19,NA,YES,YES,NO,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-068,Giant Sea Bass,SG-TJ-170804-02,TJ-18,Fish Market,Tijuana,04/08/2017,NA,NA,NA,NA,El Datil,100,Tijuana,Pescaderia Sinaloa,NA,NA,El Datil,NA,NA,NA,Lenguado,40,6.38,NA,78,66,19,NA,YES,YES,YES,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-069,Giant Sea Bass,SG-TJ-170804-03,TJ-19,Fish Market,Tijuana,04/08/2017,NA,NA,NA,NA,El Datil,100,Tijuana,Pescaderia Sinaloa,NA,NA,El Datil,NA,NA,NA,Lenguado,40,3.89,NA,66,54,17,NA,YES,YES,NO,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-070,Giant Sea Bass,SG-TJ-170804-04,TJ-20,Fish Market,Tijuana,04/08/2017,NA,NA,NA,NA,El Datil,100,Tijuana,Pescaderia Sinaloa,NA,NA,El Datil,NA,NA,NA,Lenguado,40,1.18,Eviscerado,44,35,12,NA,YES,YES,YES,NO,NA,YES,YES,YES,Arturo,Arturo,NA,NA
GSB-071,Giant Sea Bass,SG-TJ-170812-01,TJ-21,Fish Market,Tijuana,12/08/2017,NA,NA,NA,NA,El Datil,100,Tijuana,Pescaderia Sinaloa,NA,NA,El Datil,NA,NA,NA,NA,NA,6.55,Completo,77,64,14,NA,PENAIENTE,YES,PENAIENTE,PENAIENTE,PENAIENTE,PENAIENTE,YES,YES,Arturo,Arturo,NO,Comprado guardado en Pescaderia Angel
GSB-072,Giant Sea Bass,SG-TJ-170812-02,TJ-22,Fish Market,Tijuana,12/08/2017,NA,NA,NA,NA,Guerrero Negro,100,NA,Pescaderia Las Playas,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,63.3,NA,NA,NA,NA,NA,NO,YES,NO,NO,NO,NO,NO,NO,Arturo,Arturo,YES,"En piezas, solo Peso completo"
GSB-073,Giant Sea Bass,SG-EN-170612-01,EN-43,Fish Market,Ensenada,12/06/2017,NA,NA,NA,NA,NA,NA,Ensenada,Pescadería….,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,79.5,NA,NA,NA,YES,YES,NO,NO,NO,NA,NO?,YES,Ricardo Dominguez/Isabel HernaNAez,Ricardo Dominguez/Isabel HernaNAez,YES,NA
GSB-074,Giant Sea Bass,SG-EN-170612-02,EN-44,Fish Market,Ensenada,12/06/2017,NA,NA,NA,NA,NA,NA,Ensenada,Pescadería….,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,YES,NO,NO,NO,NO,NO,NO?,ONLY THE HEAD,Ricardo Dominguez/Isabel HernaNAez,Ricardo Dominguez/Isabel HernaNAez,YES,NA
GSB-075,Giant Sea Bass,SG-EN-170612-03,EN-45,Fish Market,Ensenada,12/06/2017,NA,NA,NA,NA,NA,NA,Ensenada,Pescadería….,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.5,NA,YES,NO,NO,NO,NO,NO,NO?,ONLY THE HEAD,Ricardo Dominguez/Isabel HernaNAez,Ricardo Dominguez/Isabel HernaNAez,YES,NA
GSB-076,Giant Sea Bass,SG-EN-170810-01,EN-46,Fish Market,Ensenada,10/08/2017,NA,NA,NA,NA,Guerrero Negro,150,Ensenada,Mercado Negro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,YES(1.5),NO,NO,NO,NO,NO,NO,YES,Daniel (Mercado Negro),Daniel (Mercado Negro),YES,NA
GSB-077,Giant Sea Bass,SG-EN-170819-01,EN-47,Fish Market,Ensenada,19/08/2017,NA,NA,NA,NA,Guerrero Negro,150,Ensenada,Mercado Negro,NA,NA,NA,NA,NA,NA,NA,NA,6.5,Eviscerado,74,NA,21,NA,YES ,YES,NO,NO,NO,NA,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-078,Giant Sea Bass,SG-EN-170819-02,EN-48,Fish Market,Ensenada,19/08/2017,NA,NA,NA,NA,Guerrero Negro,150,Ensenada,Mercado Negro,NA,NA,NA,NA,NA,NA,NA,NA,24,Eviscerado,112,NA,33,NA,YES,YES,YES,NO,NO,NA,YES,YES,Paula Sgarlatta,Paula Sgarlatta,YES,NA
GSB-079,Giant Sea Bass,SG-TJ-170819-01,TJ-23,Fish Market,Tijuana,19/08/2017,NA,NA,NA,NA,Guerrero Negro,120,NA,Pescaderia El Pescador,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,7.79,Eviscerado,84.5,71,23.01,NA,YES,YES,YES,NO,INMATURE,NO,YES,YES,Arturo,Arturo,YES,NA
GSB-080,Giant Sea Bass,SG-TJ-170819-02,TJ-24,Fish Market,Tijuana,19/08/2017,NA,NA,NA,NA,Guerrero Negro,120,NA,Pescaderia El Pescador,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,12.11,Eviscerado,89,73,26,NA,YES,YES,NO,NO,NA,NO,NO,YES,Arturo,Arturo,YES,Aleta caudal incompleta
GSB-081,Giant Sea Bass,SG-GN-170717-01,GN-03,Campo Pesquero,Guerrero Negro,17/07/2017,NA,Ulises,NA,17/07/2017,Guerrero Negro,NA,Guerrero Negro,NA,NA,NA,Guerrero Negro,NA,NA,NA,NA,28,24.5,NA,117.5,NA,31.4,NA,PENAIENTES,YES,NO,NO,NA,NA,NO,YES,NA,NA,YES,NA
GSB-082,Giant Sea Bass,SG-GN-170717-02,GN-04,Campo Pesquero,Guerrero Negro,17/07/2017,NA,Ulises,NA,17/07/2017,Guerrero Negro,NA,Guerrero Negro,NA,NA,NA,Guerrero Negro,NA,NA,NA,NA,NA,3.5,Eviscerado,70.2,NA,20,NA,PENAIENTES,YES,NO,NO,NA,NA,NO,YES,NA,NA,YES,NA
